향수_이름,향수_설명,향수_name
카너 바르셀로나 베소스,무디한 향 그리고 가죽 향을 굉장히 좋아하거든요 근데 이상하게 이렇게 포근하고 바닐라 틱하게 파우더리한 향이 좀 많이 손이 가더라고요 취향이 달라진 걸 수도 있고 아니면 계절을 타는 걸 수도 있는데 요즘에는 저는 가장 비율적으로 많이 사용하는게 배소 스인 거 같아요 뭔가 방금 세탁하고 나온듯한 그런 옷에서 나는 향인데 그게 결코 막 저렴한 향이 아니고 고급진 섬유연제 냄새 신기하게 이게 쿨한데 따뜻해요 쿨한데 따뜻해요 옷 착장이라 장소에 구해 받지 않고 어디서든 뿌려도 부담없이 사용하실 수 있는 제품인 거 같아요,CARNER Barcelona Besos - CARNER Barcelona
퍼퓸 드 엠파이어 오스만투스 앙테르디트,산뜻하고 프레쉬한 느낌입니다 와 이거는 진짜 한마디로 표현할 수 있어요 살구가 가득 빠진 녹차 어 수 있어요 살구를 손에 막 한 가득 쥐었을 때 날법한 그 달콤한 복숭아 살고 이 향면 그에 은은하게 맑은 녹차향이 깔려져 있어요 그리고 그 외에 약간 자스민 향도 섞여 있거든요 되게 고급 음식점 가면은 그 자스민 티 같은 거 나오잖아요 그런 자스민 티 향 같기도 하고 어떻게 자스민 티 향 같기도 하고 어떻게 맞으면 녹차향 같기도 하고,Perfume de Empire Osmanthus Interdit - Perfume de Empire
제르조프 알렉산드리아2,"이 양수를 딱 뿌렸을 때 처음 그려지는 이미지는 숲속에 있는 신선한 라벤더 밭에서 청사과를 먹고 있는듯한 모습이었어요. 그만큼 아로마틱 하고 달콤한 향이 로즈우드 시더우드 오우드 향과 함께 섞여서 납니다. 그리고 잔향은 엠버 우디 바닐라의 포근한 향으로 마무리가 돼요. 전반적인 향이 굉장히 깊이 있고 안정적입니다. 유럽의 유서깊은 5성급 호텔의 복도에서 이런 향이 나을 것 같다는 생각을 했어요. 특유의 기품 있는 우디향이 연상이 되면서도 굉장히 멋스러운 유럽 피안이 탁 풍길 법한 달콤하고 향긋한 아로마향도 있고, 호텔 복도를 걸을 때의 그 편안하고 부드러운 무드까지 있거든요. 우디 파우더리 프루티 아로마틱 스파이시 등등 정말 다채로운 장르의 향조가 존재하고 있는 향수인데요, 그럼에도 전혀 과하지 않고 오묘하고 절묘한 조화를 이루고 있다라는 점이 정말 인상적입니다.",Xerjoff Alexandria II - Xerjoff
제르조프 니오,"스파클링하고 반짝이는 밝은 기운을 느낄 수 있는 향입니다. 상큼한 시트러스 향이랑 네롤리 향이 톡톡튀는 로즈페퍼 넛맥 등의 향과 섞여서 포문을 여는데요. 그런데 그냥 단순한 시트러스가 아니라 푸릇한 녹색 이파리와 흙향, 그리고 잔향에서 우디 향도 섞여 있어 가지고 정말 자연적이고 고급스럽습니다. 마치 내가 갑자기 되게 부자가 돼 가지고 이태리에 막 지중해 연한 어딘가에 텃밭을 하나 샀어 그래서 거기에서 레몬 트리를 하나 이렇게 애지중지 키운다면 딱 이런 향이 날 것 같아요. 비옥한 흙의 향, 볕을 가득 받고 자란 레몬트리의 상큼한 과육 향 그리고 나무의 향까지 느껴지는 향수입니다. 이 향수는 뭔가 캐주얼한 모임이나 친한 친구들이 모이는 자리에서 잘 어울릴 것 같아요. 향이 과하지 않으면서도 딱 주목을 받을 수 있을 법한 향이죠.",Xerjoff Nio - Xerjoff
제르조프 에르바 퓨라,"오렌지나 레몬 같은 시트러스 과일을 비롯해서 여러 가지 프루티 향이 느껴지는데요. 저한테는 이 과일향이 약간 망고 향처럼 느껴지기도 하고 파인애플이나 라즈베리, 복숭아 요런 말랑말랑하고 상콤 달콤한 과일들이 그려지기도 해요. 정말 당도 높고 잘 익어 가지고 과일이 쭈르륵 흐르는 그런 느낌이죠. 그리고 잔향은 솜털처럼 부드러운 바닐라 머스크 엠버 향으로 깔끔하게 마무리됩니다. 연말 연시에 여행이나 휴가를 떠날 계획이 있는 분들에게 정말 추천하고 싶은 향수고, 아니면은 내가 꼭 어디론가 떠나지 않아도 이 향수를 딱 뿌리면 한 해를 잘 마무리한 나한테 달콤한 휴식을 선사하는 그런 기분이 들 것 같습니다.",Xerjoff Erba Pura - Xerjoff
제르조프 아폴로니아,달빛 아래에서 데이트하는 내 연인에게서 날법한 화이트 머스크 향이다. 그만큼 이게 되게 섬세한 플라워 향이랑 매혹적인 밤의 분위기를 연출하고 있는 향이죠.,Xerjoff Apollonia - Xerjoff
디올 자도르 로르,"자도르 로르가 오리지널 자도르와 크게 다르지 않더라고요. 오리지널 자도르와 향이 되게 비슷합니다. 솔직히 말하자면은 엄청 개성 있고 독특하다고 느껴지지도 않았거든요. 자도르 뭐 일랑일랑 자스민 로즈 이런 전 세계의 온갖 아름다운 꽃들을 가득 모은 부캐 향에다 풍부한 프루트 향이 더해진 향입니다. 특정 향조가 도드라지지 않고 정말 많은 수십 가지 꽃들이 다채롭게 사용됐는데 그 향이 너무 강하지 않고 그 많은 향 조들이 매끈하게 밸런스를 이루고 있다는 점에서 많은 호평을 받았죠. 자도르 로르의 노트인 자스민이랑 센티폴리아 로즈, 은방울꽃, 바이올렛 정도만 간결하게 남겨 두자 요렇게 단순하고 미니멀하게 노트를 다듬되, 대신에 그 몇 안 되는 노트를 다듬되, 그 꽃향기는 더 선명하게 극대화 하자 이렇게 생각을 하고 만든 향수라고 할 수 있죠.",Dior J'adore L'Or - Dior
딥티크 탐다오,"사찰에 갔을 때 나는 편안한 향기, 약간 히노끼탕의 편안한 향기, 편백나무 냄새 같고 처음에는 겨울나무 같은 느낌입니다. 끝향이 포근하고, 묵직한 느낌, 무뚝뚝할 수 있는 느낌이지만 사랑하는 사람한테는 엄청 따뜻한 느낌입니다.",Diptyque Tam Dao - Diptyque
딥티크 플레르드 뽀,"앤티크와 목재가구 둘러싸여 있는 호텔에 깨끗하고 포근한 친구의 향으로 느껴지거든요. 미모사 꽃향기가 꽤 많이 나거든요. 저한테는 좀 향기나는 색종이 같고, 튤립을 연상하게 만 되기도 했습니다. 때로는 색종이 냄새 혹은 크레파스 향 같다라고 느껴지거든요. 크레파스스러운 꽃향기가 살짝 있으니까 구수한 향으로 느껴지더라고요. 구수한 누룽지가 그려지지 이런 생각을 했는데, 나중에 보니까 이 향수에 라이스 어코드가 사용이 됐더라고요. 그래서 고소한 국물의 느낌을 받은 것 같습니다.",Diptyque Fleur de Peau - Diptyque
딥티크 오르페옹,"오래된 목재 장식 있는 bar에서 날법한 우디 향도 나고, 아주 멋스럽게 꾸민 예술가들 테서 날법한 중성적인 파우더링 향도 포근하게 납니다. 진짜 중독성 있고 멋진 향이라서 저도 좋아하고 많은 분들에게 인기가 있기도 한 향이에요.",Diptyque Orphéon - Diptyque
딥티크 플레르드뽀,톡소는 후추 향을 뺀 느낌이 우르 PE 같다라는 생각이 들 정도로 닮은 부분이 있는 향수입니다.,Diptyque Fleur de Peau - Diptyque
딥티크 로파 피에,종이 공방의 향입니다. 목수 공방의 향 막 나무껍질 벗겨 가지고 종이 향이 날법한 그런 느낌에다가 은은한 미모사 꽃향기가 섞여 있는 향처럼 느껴지는 제품입니다.,Diptyque L'Eau de Paille - Diptyque
매종 크리밸리 상탈 볼케니크,진짜 화산이 폭발하고 나서의 화산재 새빨간 불꽃 요런게 연상되는 스파이시 향이랑 우디향 그리고 커피 원두향이 나는 그 원두향이 되게 이색적이면서도 좋더라고요.,Maison Crivelli Santal Volcanique - Maison Crivelli
불리 세드르 디 리방,나무로 지어진듯한 어둑어둑한 교회에 들어갔을 때의 그 교회 냄새 혹은 성당 냄새에 바닐라 파우더를 살짝 뿌린듯한 느낌의 향입니다.,Buly 1803 Cedre de Liban - Buly 1803
논픽션 포레스트,숲속에 온천에 간듯한 느낌의 향이에요. 온천에 약간의 유자를 띄운 느낌? 히노끼탕 냄새에 한 꼬집의 유자향이 섞인 느낌입니다.,Nonfiction Forest - Nonfiction
제르조프 낙소스,"굉장히 웅장한 느낌의 우디 향인데요, 거기에 담배잎 바닐라 시나몽 꿀 요런 향조로 더해져서 화려하고 찬란한 분위기의 향입니다. 패션 위크를 이제 막 끝내고 담배 한 대 피우고 있는 너무 멋있는 유러피안 모델이 연상되는 향이예요. 범점하기 어려울 정도의 포스가 가득한 이태리 감성의 향수입니다. 가장 볼드한 우디향인 것 같아요.",Xerjoff Naxos - Xerjoff
크리드 켄타우로스,거친 면모와 정이 많고 따스한 성격을 같이 가지고 있는 사람이 떠오르는 향입니다. 와일드한 타바코 향이랑 풍부한 샌달로 그리고 달콤한 꿀과 바닐라 향이 어우러졌습니다.,Creed Kentaurus
나르시소 로드리게즈 포 힘 블루 누아르,옴므파탈 같은 냄새예요. 고소하고 달콤한 넛맥과 카다멈에 모던한 블루 머스크 향이 딱 곁들어져 가지고 포근하면서도 관능적입니다.,Narciso Rodriguez For Him Bleu Noir
입생로랑 마이셀프,프레시한 스킨 향과 더불어서 깨끗하고 부드러운 오렌지 블라썸 향이 나기 때문에 막 투박한 남자 스킨향이 아니라 되게 옷 잘 입고 슬림한 체형의 남자가 떠오르는 향입니다.,Yves Saint Laurent My Slf
엑스니힐로 스피드 레전드,질주하는 자동차가 주는 스피드와 아드레날린에 대한 갈망을 표현한 향수라서 진짜 자동차가 쌩하고 달릴 때 일어나는 뭔가 돌풍처럼 시원하면서도 약간 추적추적 비내리는 어두운 도시 바이브도 있는 매력적인 향기입니다.,Ex Nihilo Speed Legend
르라보 시트론 2,"되게 중성적인 레몬 향이랑 자스민 향이 지배적인 향입니다. 전체적으로 가볍고 쿨한 시트러스 향인데 자스민 향도 꽤 많이나요. 살짝 꼬릿함이 섞인 자스민 향이고 진저, 시더, 머스크 이런 향조도 포함됐다고 하는데 저한테는 꽤나 심플한 시트러스 플로를 향으로 느껴졌습니다. 쉽게 쓸 수 있는 향이라서 우리나라 사람들 정서에 잘 맞겠다. 향 자체는 되게 좋고 외국인이 보는 서울 이미지는 이런 향으로 표현되는 향수다.",Le Labo Citron 2
로스트 체리,로스트 체리 특유의 그 술에 푹 절여진 체리의 녹진함 이런게 하나도 없고 체리향을 흉내낸 화장품 냄새에 뭔가 기분 나쁜 알콜 냄새가 섞인 뭔가 기분 나쁜 알콜 냄새가 섞인 1차원적인 향입니다 생각보다 향이 되게 되게 되게 별로예요.,Lost Cherry
메종 크리벨리 브와 닷챠이,이 향수는 산속에서 야생베리를 수확하면서 스파이시하고 스모키한 홍차를 마시는 순간의 컨셉을 가지고 있어요. 그 향을 맡아보면 그 컨셉이 너무나 타당하고 객관적이라는 것을 느낄 수 있을 겁니다. 깊은 산속에서 타닥타닥 나뭇잎을 태우고 있을 때 날 법한 스모키한 오디향이랑 차이티 향이 뿌리자마자나요. 그리고 블랙베리의 향도 은근하게 나는데요. 야생 블랙베리를 수확하고 있는 기분이 드는 자연적이고 많이 달지 않은 그런 베리 향이 살짝 섞였습니다. 나무 냄새가 가득한 숲속에서 모닥불 피워두고 불멍하면서 따뜻한 홍차도 마시고 직접 수확한 블랙베리도 맛보는 그런 숲속의 평화로운 모습이 너무 잘 표현이 됐습니다.,Maison Crivelli Bois d'atchai
밀러 해리스 포 상탈,"어른의 연애가 떠오른 향이에요. 굉장히 우디하고 스파이시한 향이라서 성숙하고 포스 있는 이미지입니다. 뿌리자마자 핑크 페퍼나 샤프란 같은 향신료형이 확 나거든요. 존재감 강한 스파이시한 좋아하시는 분들한테 완전 추천하고요. 나무향도 많이 납니다. 우디향 중에서도 따뜻하고 부드러운 우디 향인 샌달우드 향이 견고하게 나는데, 포상탈은 베이스 노트뿐만 아니라 미들 노트에도 샌달우드를 같이 적용해서 풍부한 오디향을 느낄 수 있습니다. 약간 다크한 레더 향 전반적으로 은은하게 풍겨오는 것 같더라고요. 밤에 하는 드라이브 데이트를 떠올렸나 봐요.",Miller Harris Po Sandal
에따 리브로 도랑주 고스트인 더 쉘,복숭아와 유자를 넣은 우유향이라고 표현하고 싶은데요. 첫향에서는 짜릿한 유자향이 나는데 그게 사이보그의 메탈릭함을 표현한 부분이라고 하더라고요. 시간이 좀 지나면 시트러스 향은 사라지고 복숭아가 푹 빠져있는 우유향이 나요. 정말 우유향이에요. 우유 마시고 있는 애기들 냄새 맡아보면 우유 냄새랑 살냄새가 섞여서 나잖아요. 딱 이런 냄새입니다. 포근한 향만으로도 충분히 좋아요.,Etat Libre d'Orange Ghost in the Shell
오르몽드 제인 다마스크,"이 향수는 첫 만남이 떠오르는 향수예요. 프루티 플로럴 향입니다. 장미향이 나는 향수인데요, 그 장미에 상큼달달한 블랙커런트 에이드가 묻은듯한 느낌이에요. 달콤한 과즙향과 프레시한 느낌을 줍니다. 장미꽃이 가지고 있는 이파리나 줄기 같은 프릿한 내음이 함께 느껴지고요. 서양배나 블랙커런트의 달콤함이 우아한 이미지에 과일향으로 표현됐습니다. 전체적으로 향 자체는 크게 호불호가 갈릴 스타일이 아니고 학생부터 중력까지 다 어울릴 스타일이죠.",Ormonde Jayne Damask
아크로 다크,"전반적으로 이국적인 느낌을 갖고 싶다하시는 분들께 추천드려요. 구워 먹는데 확실히 느껴지는데, 스모키한 향이 있고 약간 달콤한 초콜릿 향이 느껴지는 것 같아요. 호주나 미국의 인적 드문 고속도로를 달리며 주유소 옆의 작은 편의점에서 파는 알록달록한 캔디 같은 느낌이 있어요.",Acqua di Parma Dark
에따 리브르 도랑쥬 자스민 에 시가렛,"자스민에서 나는 꼬릿한 인돌릿함이 진짜 화장실 냄새처럼 느껴지긴해요. 어둑어둑하고 더럽고, 내 피부에 뿌려도 괜찮을까라는 생각이 드는 흥미로운 조화가 있습니다. 극악의 환경에서 눈빛은 강렬하게 빛나고, 약간의 플로럴함이 더해져 조화로워서 흥미로운 느낌이에요.",Etat Libre d'Orange Jasmine & Cigarette
킬리안 백 투 블랙,"탐정 드라마 영화 같은 분위기를 주며, 고급스럽고 지적인 느낌이 있어요. 담배 냄새와 함께 지적인 느낌을 주는 향이 전반적으로 맞는 것 같아요. 꿀 향이 느껴지는데 단내와 타바코의 조화가 좋은 것 같습니다.",Kilian Back to Black
세르주루텐 세르귀,건조하게 느껴지며 밤에 어울릴 것 같은 향신료형과 모래가 느껴져요. 전체적인 바이브가 너무 이국적이라 한국인들이 섣불리 쓰기는 어려운 느낌이지 않을까 싶습니다.,Serge Lutens Serge
돌체앤가바나뷰티 라이트블루,"정통적인 여름 향수 강자. 물먹은 듯 촉촉한 느낌이 들어오고, 꿉꿉한 향을 날려버릴 수 있을 것 같은 향이에요! 처음에는 톡 쏘는 시트러스 향이 나고, 뒤로 갈수록 시원한 레몬에이드 같은 바닷바람의 느낌이 유지되기 때문에 크게 호불호가 갈리지 않을 것 같고, 파릇파릇하고 맑은 여름 향수입니다. 누구나 접근할 수 있는 쉬운 향입니다.",Dolce & Gabbana Beauty Light Blue
베로니크 가바이 베르 데지르,민트 향이 자연스럽고 부드러운 느낌입니다. 안개 같은 민트가 세련되게 퍼지는 향이랄까요? 시원하고 케케묵은 때를 다 쓸어내 줄 것 같은 깨끗함이 있어요. 호불호가 갈릴 것 같은 어려운 포인트는 많이 제거해서 부드럽게 만든 향인 것 같아요.,Véronique Gabai Vert d'Esprit
힐리 셀 마린,"아주 시원하고 개운한 바다의 느낌. 찹 조름 소금기와 해조류의 냄새가 나고, 내 앞에 바다가 펼쳐지는 듯한 느낌이 드네요. 물 냄새가 확 나고, 대놓고 물 냄새가 나는 향입니다. 스타일이 많이 갈릴 것 같고, 우디 머스크한 느낌이 느껴질 수 있습니다.",Hilly Sel Marine
줄리엣 헤즈어건 모스코 뮬,"처음에는 톡 쏘는 시트러스 향이 나고, 뒤로 갈수록 시원하고 맑은 느낌의 향입니다. 잔향으로는 약간 원더랑 비슷한 산란체 같은 게 남는데.. 전체적으로 한국인들이 좋아할 스타일이면서 한 여름에 뿌려도 좋은 프레시함과 시원함이 있습니다.",Juliette Has a Gun Moscow Mule
바이레도 슈퍼시더,향은 꽤나 심플합니다. 연필심의 향에다가 약간의 장미향이 섞인 향이라고 할 수 있어요. 우리가 연필을 직접 깎고 있을 때 풍겨오는 그 연필심의 가루 향이 살짝 파우더리하게 풍겨오고 거기에 서늘한 장미향도 은근하게 섞였습니다. 근데 이 장미향이 막 대놓고 로즈향 꽃향기 이런 건 전혀 아니에요. 그냥 약간의 꽃향기가 터치된 수준이라서 장미라고 말 안 하면 장미향을 못 느낄 수도 있을 정도입니다. 그리고 잔향에서는 머스크향이 포근하게 남아서 전체적으로 좀 보송한 느낌이에요. 이 향을 사람으로 비유를 해보자면 부드러운 성향인데 외적으로도 좀 자기를 꾸밀 줄 아는 그런 스타일의 사랑이 떠올라요.,Byredo Super Cedar
바이레도 모하비 고스트,"꽃과 과일들이 들어있는 우유 푸딩을 나무 스푼으로 넘어갈 때 향이 나고, 촉촉하고 뽀얀 향이 고스란히 느껴지고요. 왠지 보랏빛일 것 같은 신비로운 이국적인 꽃향기도 나면서 과일향도 은근하게 납니다. 게다가 전체적으로 은은한 우디안까지 섞여 있어요. 뭔가 섬유유연제향 같기도 하고 비누향 같기도 한데, 일상적이고 평범하기만 한 향은 아닌 분명히 개성이 섞여 있는 향이라서 사람들이 선호할 스타일이라고 생각을 했습니다. 그런데 이 향수에서 느껴지는 촉촉함이 오이 냄새라던가 물 향으로 느껴져서 내 스타일은 아니다라는 분들도 계시긴 하거든요.",Byredo Mojave Ghost
바이레도 블랙 샤프란,첫 향은 좀 달콤한 베리 향이 나거든요. 라즈베리 같기도 하고 블랙베리 같기도 한 그런 베리 향이 들큰하게 나는데 전혀 밝은 느낌은 아닙니다. 농도 짙은 과일향인데 어딘가 씁쓸해요. 그리고 시간이 조금 지나면은 가죽향이 확납니다. 그런데 그 가죽 향이 흙 묻은 스웨이드 향이랄까요. 그만큼 earthy하고 우디한 향이 많이 섞인 향수입니다. 게다가 전체적으로 매케한 시간도 많이 나요. 뿌연 연기가 떠오르는 스모키한 향도 전체적으로 깔려 있다고 보시면 됩니다. 그래서 뭔가 힙한 부연 색 도시를 살아가는 시크인이 떠오르는 향이랄까요.,Byredo Black Saffron
메종 프란시스 커정 724,724는 굉장히 대중적인 세탁 향으로 출시가 돼서요. 매니아들 사이에서는 아 이거 너무 무난해서 아쉽다 이런 반응이 있긴 하거든요. 저는 개인적으로 막 세탁 향 빨래 향 요런 향수를 찾아다니면서 향 덕질을 시작한 케이스라서 그런지 저는 좋더라고요. 잠들지 않는 도시 뉴욕의 이른 아침 세탁소에서 영감을 받아서 탄생했습니다. 저한테는 이게 세탁소 향이라기보다는 완전 세탁 세제 향이었어요. 쿨하고 선명합니다. 촉촉한 증기 새콤하고 크리스피한 향입니다. 하얀 색깔 가루 세제에서 나는 상쾌한 향을 예상하시면 되고요. 아주 새콤한 레몬 냄새도 꽤 많이나요. 그리고 커정향수 특유의 그 쇠냄새도 존재감이 큽니다. 저는 이 세 냄새가 마치 굉장히 각지고 커다랗고 메탈릭한 세탁기를 떠올리게 하더라고요. 뭔가 쇠를 딱 씹었을 때 그 찌르라는 느낌이 있잖아요. 이 향수의 컨셉인 바쁜 유혹을 살아가는 뉴욕커 직장인 뭐 이런 이미지예요. 그리고 그 이미지는 이 향수의 메탈릭한 느낌에서 나오는 것 같습니다. 도시를 빠르게 가로질러 가는 지하철이라던가 통유리창 고층 빌딩 이런 분위기를 자아내는 도시의 향기라고 할 수 있죠. 아쿠아 유니버셜보다 훨씬 치리사가 잔향이 포근하더라고요. 그 베이스 노트에 머스크랑 샌더로드의 부드러움이 확실히 느껴지더라고요. 아쿠아 유니버셜보다는 좀 포근하고 발에도 불랑시보다는 더 새콤하고 샤프한 향이다라고 느껴졌습니다.,Maison Francis Kurkdjian 724
지미추 아이 원 추,"뿌리자마자 상콤달콤한 시트러스 향과 복숭아향이 확나요 잘 익은 오렌지로 만든 주스 그리고 복숭아 마멀레이드 연상되는 오프닝입니다. 자스민과 레드 스파이더 릴리의 화이트 플라우 향이 이어지는데요, 이 꽃향기가 뭔가 반짝반짝 빛나는 것처럼 스파클링한 느낌이 있어요. 프루티한 과실향과 우아한 꽃향기가 어우러진 샴페인을 마실 때 향처럼 느껴지기도 하더라고요. 잔향에서 부드러운 바닐라 향이 천천히 녹아 됩니다. 딱이 향수의 바틀리나 패키지의 이미지와 닮아 있어요. 다크한 과일 주스나 향 뜻한 샴페 연상케 하고, 반짝이는 글리터들이 되게 화려하자아요. 그런 것처럼 이 향수를 뿌리면 마치 내 주변에 미러보이 탁 켜진 것처럼 기분이 들뜨게 됩니다. 이 향수를 뿌리는 사람은 왠지 같이 있으면은 항상 즐거운 사람일 것 같아요.",Jimmy Choo I Want Choo
센틀리에 오렌지 블라썸 토스카나,아주 상큼하고 톤이 높은 향수예요. 깨끗한 오렌지 블라썸 향이 섞여 있는 향수라서 어둡고 우울한 바이브 1도 없는 상쾌한 시트러스 향입니다. 룰루레몬 매장 향기가 나는 딱 그 향수예요.,Centlie Orange Blossom Toscana
캘리포니아센트 팜스 페이퍼 라구나 브리즈,"청량한 바다에 시원함을 담은 향이라고 하길래 궁금해서 한번 사 봤어요. 하지만 제가 느끼기엔 바다 향은 아닌 거 같고, 버블껌 느낌이에요. 그 버블검이 무조건 하늘 세계나 파랑 색이어야 돼서 그런 스타일 좋아하시면 요거 차량용 방향제나 옷걸이에 걸어두는 방향제로 쓰시기 좋을 거예요.",California Scent Palms Paper Laguna Breeze
나르시소 로드리게즈 퓨어 마스크 포 허 오드 퍼퓸,이 향은 정말 순수한 향인데요 대부분의 한국인들이 좋아할 만한 아주 깨끗하면서 풍부한 깊이감이 있는 머스크향입니다. 처음 뿌리자마자 청량한 비누향이 퍼지는데 아주 순하고 절제된 파우더를 향입니다. 밀키한 하얀 비누로 씻고 난 뒤에 내 피부에 남을 살 냄새 같은 향기가 너무 좋아요. 그리고 특히 제가 더 좋았던 건 이 순수한 비누향이 귀엽거나 공주풍의 이미지가 아니라 아주 중성적이고 약간의 관능미까지 있는 이미지라는 점이었어요.,Narciso Rodriguez Pure Musk for Her Eau de Parfum
나르시소 로드리게즈 포 허 오 드 퍼퓸,나르시솔 로드리게즈의 시그니처 노트의 머스크향에다가 장미와 패출리 향이 어우러졌는데요 약간 도발적이고 성숙한 느낌입니다. 복숭아의 과즙향도 약간 곁들여졌어요 하지만 그 과즙향이 도드라지진 않고요 이 향수에 과하지 않을 달콤함을 살짝 얹어주는 정도입니다.,Narciso Rodriguez For Her Eau de Parfum
나르시소 로드리게즈 포 허 오 드 뚜왈렛,아주 섬세한 몸짓으로 자신을 표현하고 있는 우아 무용수가 떠오르는 향이라고 생각을 했어요. 오렌지 블라썸이랑 오스만투스 같은 꽃향기로 시작을 했다가 부드러운 머스크와 엠버노트로 이어지고 베티버와 파출리향으로 마무리되는 향기입니다. 너무 화려하지도 너무 단순하지도 않은 향이라서 적당히 차려입은 날 뿌리고 싶어요.,Narciso Rodriguez For Her Eau de Toilette
나르시소 로드리게즈 플레르 마스크 포 허 오 드 퍼퓸,화사한 꽃향기와 잔향에서의 포근한 앰버 머스크향이 공존하고 있기 때문에 지금부터 다가오는 봄까지 쭉 잘 사용하실 수 있을 만한 향기입니다.,Narciso Rodriguez Fleur Musc for Her Eau de Parfum
나르시소 로드리게즈 머스크 느와르 로제 포 허 오 드 퍼퓸,뿌리자마자 새콤한 베르가목과 달달한 자두 향 그리고 살짝 다크한 스웨이드 레더향이 어우러집니다. 그리고 전체적으로 바닐라 향이 깔려 있는 느낌이에요. 그래서 되게 시크한 검정색 레더 자켓을 입고 바닐라 시럽에 절여진 자두와 부드러운 투베로즈 꽃이 만지고 있는 사람이 떠오르는 향이었습니다.,Narciso Rodriguez Musc Noir Rose for Her Eau de Parfum
나르시소 로드리게즈 머스크 느와르 포 허 오 드 퍼퓸,여기서도 자두랑 스웨이드 향수입니다. 피부에 은은하게 스며드는 느낌이에요. 그리고 헬리오트로프라는 소프트한 파우더리 향해 꽃이 부담스럽지 않게 사용됐기 때문에 묘한 여운이 오래 남는 향수입니다.,Narciso Rodriguez Musc Noir for Her Eau de Parfum
나르시스 로드리게즈 오 드 퍼퓸 크리스탈,이 향수는 베르가모 프리지아를 비롯한 프레시한 탑노트로 싱그럽게 포분해합니다. 이어서 자스민과 장미까지 더해져서 플로럴함을 한층 더 가미해주고요 잔향을 시더우드가 섞인 화이트 머스크향으로 남습니다. 이 향수를 맡았을 때 떠오르는 이미지는 햇살의 반짝이는 건강한 피부랑 막 내추럴한 미소가 돋보이는 그런 사람의 이미지였어요.,Narciso Rodriguez Eau de Parfum Crystal
나르시스 로드리게즈 오 드 퍼퓸 푸드레,포근하고 부드럽고 따뜻하고 달콤하죠 성숙한 분네를 좋아하시는 분들이라면 마음에 들어 하실 만한 묵직한 파우더 향입니다. 장미와 재스민 머스크 베티버 섀도우드가 만나서 도시에 커리어우먼 같은 이미지를 연출해 준답니다.,Narciso Rodriguez Eau de Parfum Poudré
나르시스 로드리게즈 오 드 퍼퓸 엉브레,휴양지에서 쉽게 볼 수 있는 꽃인 일랑일랑 앰버 머스크 향으로 시작해서 바닐라 등의 달콤하고 따뜻한 향으로 이어지는 향수인데요 특히 매끈한 앰버 향이 돋보입니다. 마치 드넓은 사막에서 황금빛 태양빛을 마주하고 있는 것처럼 이국적인 온기가 느껴져요.,Narciso Rodriguez Eau de Parfum Ambre
레 에 쇼콜라,초콜릿 향이 나는 향수입니다. 초콜릿 향이 나요 처음에는 초콜렛을 잘게 조각 조각을 내고 있는 듯한 모습이 그려지는 향이 나요. 잠시 후에 그 조각 내 초콜렛을 따끈한 블루 녹인 다음에 거기 우유를 부어서 하 초코를 만들었을 때 날 법한 향이 납니다. 개인적으로 헤이즐넛 커피를 살짝 섞은 듯한 뉘앙스도 느껴졌어요. 카페에서 폭탄 카페모카에 헤이즐넛 시럽 살짝 누른 듯한 음료가 떠오르게 됩니다. 초콜릿의 깊은 달콤함뿐만 아니라 견과류가 떠오르는 고소한 느낌도 있는 향이에요. 전반적으로 따스한 느낌도 있어서 요즘처럼 참 말한 볼 때 꾸리며는 너무너무 자율 이향이고요.,Les Échappées Chocolat
레 드 바닐,"단일 나가 메인이 되는 향수에요. 포프 스크 톡 치는 듯한 달달한 향이 풍문에 엽니다. 톡쏘는 스파이 시험이 있다고 느껴져서 귀여운 느낌뿐만 아니라 약간 관능적인 이미지도 있는 바닐라 향이라고 여겨졌어요. 약간 바닐라 캐러멜 요런게 떠오르게 됐고, 달콤한 시간을 보내고 있는 펀 콜론 이미지가 연상이 되는 향이라고 느껴지기도 했습니다.",Les Échappées Vanille
레 드 비스킷,고소하고 달달한 연휴에 향이 그대로 느껴지는 향수에요. 부드럽기도 하고 경쾌하게 도한 밀크 캬라멜 향이 나서 굉장히 마니아층이 많은 우유 향수라고 표현하고 싶어요. 아늑한 베이커리에서 아몬드와 함께 정성스럽게 군 비스킷에 서 날 것 같은 향입니다. 정말 포슬포슬한 핸드메이드 쿠키가 떠오르는 행복한 향이에요.,Les Échappées Biscuit
템버린즈 홀리 메탈,"이 향은 신성한 유적지의 성전에서 느껴지는 깨끗하고 차분한 공기를 떠올리게 하는 향이라는 컨셉을 가지고 있는데, 청정한 지역에 위치한 유적지에서 상쾌한 공기를 이렇게 들이마시고, 어디선가 희미하게 날아오는 신성한 인센스 향도 느끼고 있는듯한 기분이 들게 하는 향이에요. 아로마틱한 허브향이 편안하게 퍼지고, 산속에 있는 유적지나 절에 간듯한 우디 향이랑 인센스 향 그리고 정말 클린한 메탈릭한 향이 납니다. 그 메탈릭함이 청동으로 된 오리엔탈한 인센스 홀더의 향을 피우고 있는듯한 모습을 연상케 하는 신비로운 바이브가 있어요. 전반적으로 향이 정말 청정하고 쾌적한 분위기를 연출해 주는 서늘함이 깔려 있어서 참 매력적이더라고요.",Tambourins Holy Metal
